Genre: Free Form,From: 2023-08-01,Thru: 2024-03-22
Compiled: 2024-03-22 02:15
Show,Date,Track,Dur,Artist,Album,Released,Label,Composer
Bofted Couch,2024-01-24,The Man Who Sold The World - Live,4:21,Nirvana,MTV Unplugged In New York,1994,DGC,""
Bofted Couch,2024-01-24,How Soon Is Now? - 2011 Remaster,6:48,The Smiths,Hatful of Hollow,1984,WM UK,""
Bofted Couch,2024-01-24,Margaret (feat. Bleachers),5:39,"Lana Del Rey, Bleachers",Did you know that there's a tunnel under Ocean Blvd,2023,Polydor Records,""
Bofted Couch,2024-01-24,Song About Me,4:03,TV Girl,Who Really Cares,2016,TV Girl,""
Bofted Couch,2024-01-24,Sometimes,5:19,my bloody valentine,Loveless,1991,Rhino/Warner Records,""
Bofted Couch,2024-01-24,Pigs on the Wing 2,1:26,Pink Floyd,Animals,1977,Pink Floyd Records,""
Bofted Couch,2024-01-24,Electric Feel,3:50,MGMT,"","","",""
Bofted Couch,2024-01-24,Purple Rain,8:40,Prince,"","","",""
Beyond the Riff,2024-01-24,The Botanist,6:27,Sleep,The Sciences,2018,Third Man Records,""
Beyond the Riff,2024-01-24,Marrow - Acoustic,11:06,Mike Scheidt,Revolver Sessions,2018,"",""
Beyond the Riff,2024-01-24,A Room with a View - 2020 Acoustic Version,5:00,Death Angel,Under Pressure,2020,Nuclear Blast,""
Beyond the Riff,2024-01-24,How Far,7:31,Aerial Ruin,Nameless Sun,2019,Caustic Records,""
Beyond the Riff,2024-01-24,Flatlands,4:00,Chelsea Wolfe,Unknown Rooms: A Collection of Acoustic Songs,2012,Sargent House,""
Beyond the Riff,2024-01-24,Gold,3:46,Dorthia Cottrell,Dorthia Cottrell,2015,Forcefield Records,""
Beyond the Riff,2024-01-24,The Hammer,6:23,Thou,Inconsolable,2018,Robotic Empire,""
Beyond the Riff,2024-01-24,Still They Pray,4:09,Cough,Still They Pray,2016,Relapse Records,""
Beyond the Riff,2024-01-24,Bloom,4:03,Dolven,Navigating the Labyrinth,2016,612138 Records DK,""
Beyond the Riff,2024-01-24,Devil's Work - Acoustic,5:14,Uncle Acid & The Deadbeats,Runaway Girls,2014,Rise Above Limited,""
Beyond the Riff,2024-01-24,We Are Doomed - Acoustic,6:48,Melvins,Five Legged Dog,2021,Ipecac Recordings,""
Beyond the Riff,2024-01-24,Umbrella,5:26,Pelander,Time,2016,Nuclear Blast,""
Beyond the Riff,2024-01-24,Libations - Acoustic Version,5:40,Empress,Libations (Acoustic Version),2021,ThisisEmpress,""
Beyond the Riff,2024-01-24,Disease (Acoustic Version),4:54,Goya,The Universe Wails,2021,Opoponax Records,""
Beyond the Riff,2024-01-24,Tar,4:06,Black Market Ministry,Voices Of The Coming Plague,2009,Leaf Lust Records,""
Beyond the Riff,2024-01-24,Confess,4:12,Messa,Belfry,2016,Aural Music,""
Beyond the Riff,2024-01-24,Storm (demo),7:51,My Silent Wake,"Rare and Live Recordings, Vol. 1",2014,Stone Groove Records,""
Beyond the Riff,2024-01-24,I Know You Rider,4:21,Beorn's Hall,Estuary,2018,Naturmacht Productions,""
Beyond the Riff,2024-01-24,Mother Mary Son Of Scorn,8:10,Poseidon,Prologue,2017,Ripple Music,""
Beyond the Riff,2024-01-24,Fair Warning,3:43,Allysen Callery,Ghost Folk,2020,Cosirecords Schallplatten,""
Let's Play Jai Alai,2024-01-24,The Mountain,5:19,Heartless Bastards,The Mountain,2009,Fat Possum,""
Let's Play Jai Alai,2024-01-24,Evergreen,1:27,Richy Mitch & The Coal Miners,RMCM,2017,Richy Mitch & The Coal Miners,""
Let's Play Jai Alai,2024-01-24,Nova Scotia 500,3:12,Boyscott,Goose Bumps,2019,Topshelf Records,""
Let's Play Jai Alai,2024-01-24,Mountain at My Gates,4:04,Foals,What Went Down,2015,Warner Records,""
Let's Play Jai Alai,2024-01-24,Galaxies,3:35,Laura Veirs,Year of Meteors,2005,Raven Marching Band,""
Let's Play Jai Alai,2024-01-24,In A Sweater Poorly Knit,5:26,mewithoutYou,"Brother, Sister",2006,Tooth & Nail (TNN),""
Let's Play Jai Alai,2024-01-24,Hurley,3:55,Pinback,Pinback,1999,Cutty Shark,""
Let's Play Jai Alai,2024-01-24,Province,4:37,TV On The Radio,Return To Cookie Mountain (Bonus Track Version),2006,Touch and Go Records,""
Let's Play Jai Alai,2024-01-24,Long Division,3:49,Death Cab for Cutie,Narrow Stairs,2008,Atlantic Records,""
Let's Play Jai Alai,2024-01-24,The Gold,4:33,Manchester Orchestra,A Black Mile To The Surface,2017,Loma Vista,""
Let's Play Jai Alai,2024-01-24,Furr,4:07,Blitzen Trapper,Furr,2008,Sub Pop Records,""
Let's Play Jai Alai,2024-01-24,Cabwaylingo,2:19,Songs: Ohia,Songs: Ohia,1997,Secretly Canadian,""
Let's Play Jai Alai,2024-01-24,Twin Falls,1:49,Built To Spill,There's Nothing Wrong With Love,1994,Up Records,""
Let's Play Jai Alai,2024-01-24,New Girl (Tom's Song),3:35,The Walters,Songs for Dads,2014,The Walters,""
The Fever,2024-01-24,MESS U MADE,2:48,MICHELLE,MESS U MADE,2021,Canvasback/ATL,""
The Fever,2024-01-24,Didn't Cha Know,3:58,Erykah Badu,Mama's Gun,2000,Motown (Kedar),""
The Fever,2024-01-24,Give You the World,4:33,Steve Lacy,Gemini Rights,2022,L-M Records/RCA Records,""
The Fever,2024-01-24,Where I'm From (feat. Mereba),3:44,"Ravyn Lenae, Mereba",HYPNOS,2022,Atlantic Records,""
The Fever,2024-01-24,Valentina,2:08,Dreamer Isioma,Valentina,2019,Fashionably Early LLC,""
The Fever,2024-01-24,Curser's Lament,4:25,Cosmo Pyke,Curser's Lament,2023,Pykrete Records,""
The Fever,2024-01-24,Ex-Factor,5:26,Ms. Lauryn Hill,The Miseducation of Lauryn Hill,1998,Ruffhouse/Columbia,""
The Fever,2024-01-24,I Gotta Find Peace of Mind - Live,9:18,Ms. Lauryn Hill,MTV Unplugged No. 2.0,2002,Columbia,""
The Fever,2024-01-24,4 Leaf Clover (feat. Steve Lacy),3:40,"Ravyn Lenae, Steve Lacy",Crush EP,2018,Atlantic Records/Three Twenty Three Music Group,""
The Fever,2024-01-24,See You Again (feat. Kali Uchis),3:00,"Tyler, The Creator, Kali Uchis",Flower Boy,2017,Columbia,""
The Fever,2024-01-24,ARE WE STILL FRIENDS?,4:25,"Tyler, The Creator",IGOR,2019,Columbia,""
The Fever,2024-01-24,Evergreen (You Didn’t Deserve Me At All),3:36,Omar Apollo,Ivory,2022,Warner Records,""
The Fever,2024-01-24,"Lions, Tigers & Bears",4:11,Jazmine Sullivan,Fearless,2008,J Records,""
The Fever,2024-01-24,L.A.,5:16,Brent Faiyaz,Sonder Son,2017,Lost Kids,""
The Fever,2024-01-24,Didn't Cha Know,3:58,Erykah Badu,Mama's Gun,2000,Motown (Kedar),""
The Fever,2024-01-24,Molasses,4:49,Hiatus Kaiyote,Choose Your Weapon,2015,Masterworks,""
The Fever,2024-01-24,I'll Call U Back,1:57,Erykah Badu,But You Caint Use My Phone (Mixtape),2015,Erykah Badu,""
The Fever,2024-01-24,Red Room,3:52,Hiatus Kaiyote,Mood Valiant,2021,Brainfeeder,""
The Fever,2024-01-24,When I'm in Your Arms,5:35,Cleo Sol,Rose in the Dark,2020,Forever Living Originals,""
The Fever,2024-01-24,Read My Mind,4:48,Lianne La Havas,Lianne La Havas,2020,Warner Records,""
The Fever,2024-01-24,10%,3:06,"KAYTRANADA, Kali Uchis",BUBBA,2019,KAYTRANADA/RCA Records,""
The Fever,2024-01-24,James Joint,1:12,Rihanna,ANTI (Deluxe),2016,Roc Nation / Rihanna,""
The Fever,2024-01-24,Rewind,2:23,Cleo Sol,Rose in the Dark,2020,Forever Living Originals,""
The Fever,2024-01-24,Guilty,3:34,Lady Wray,Queen Alone,2016,Big Crown Records,""
The Fever,2024-01-24,Nothing Even Matters (feat. D'Angelo),5:50,"Ms. Lauryn Hill, D'Angelo",The Miseducation of Lauryn Hill,1998,Ruffhouse/Columbia,""
The Fever,2024-01-24,Icarus,2:30,Fana Hues,Hues,2020,Bright Antenna,""
The Fever,2024-01-24,Do You Really,3:30,Oscar Jerome,Do You Really,2018,Au Contraire Music,""
The Fever,2024-01-24,Bloom,5:26,Raveena,Lucid,2019,"Moonstone Recordings, LLC / EMPIRE",""
Musical Moments with Matthew!,2024-01-25,Home Sweet Home,3:59,Mötley Crüe,Theatre of Pain,1985,BMG Rights Management (US) LLC,""
Musical Moments with Matthew!,2024-01-25,Goodbye Stranger,5:50,Supertramp,Breakfast In America,1979,A&M Records Inc.,""
Musical Moments with Matthew!,2024-01-25,Charlie,4:37,Red Hot Chili Peppers,Stadium Arcadium,2006,Warner Records,""
Musical Moments with Matthew!,2024-01-25,Rag Doll,4:25,Aerosmith,Permanent Vacation,1987,Aerosmith P&D - Geffen,""
Musical Moments with Matthew!,2024-01-25,Heavy Water (feat. Common Kings),3:20,"Dirty Heads, Common Kings",Midnight Control,2022,Better Noise Music,""
Musical Moments with Matthew!,2024-01-25,Stardust Chords,4:57,Greta Van Fleet,The Battle at Garden’s Gate,2021,Lava / Republic Records,""
Musical Moments with Matthew!,2024-01-25,"Kashmir - Live: O2 Arena, London - December 10, 2007",9:06,Led Zeppelin,Celebration Day,2012,Rhino,""
Musical Moments with Matthew!,2024-01-25,Limelight,4:19,Rush,Moving Pictures (2011 Remaster),1981,Mercury Records,""
Musical Moments with Matthew!,2024-01-25,Caught Up In You,4:39,38 Special,Special Forces,1982,A&M,""
Musical Moments with Matthew!,2024-01-25,Feels like the First Time,3:12,Foreigner,Foreigner (Expanded),1977,Rhino Atlantic,""
Musical Moments with Matthew!,2024-01-25,Say You Love Me,4:09,Fleetwood Mac,Fleetwood Mac,1975,Warner Records,""
Musical Moments with Matthew!,2024-01-25,Dear Mr. Fantasy,5:38,Traffic,20th Century Masters: The Millennium Collection: The Best Of Traffic,2003,Island Records,""
Musical Moments with Matthew!,2024-01-25,Have a Cigar,5:07,Pink Floyd,Wish You Were Here,1975,Pink Floyd Records,""
Musical Moments with Matthew!,2024-01-25,Blue Collar Man (Long Nights),4:07,Styx,Pieces Of Eight,1978,A&M,""
Musical Moments with Matthew!,2024-01-25,Southern Girls,3:43,Cheap Trick,In Color,1977,Epic/Legacy,""
Musical Moments with Matthew!,2024-01-25,Only the Young,4:05,Journey,Greatest Hits,1988,Columbia/Legacy,""
Musical Moments with Matthew!,2024-01-25,Hysteria,5:54,Def Leppard,Hysteria,1987,UMC (Universal Music Catalogue),""
Musical Moments with Matthew!,2024-01-25,Sweetest Thing,3:04,U2,The Joshua Tree (Super Deluxe),1987,UMC (Universal Music Catalogue),""
Musical Moments with Matthew!,2024-01-25,High Head Blues,4:01,The Black Crowes,Amorica.,1994,American Recordings Catalog P&D,""
Musical Moments with Matthew!,2024-01-25,Rio - 2009 Remaster,5:37,Duran Duran,Rio (Collector's Edition),1982,Parlophone UK,""
Musical Moments with Matthew!,2024-01-25,Why Can't This Be Love,3:47,Van Halen,5150,1986,Warner Records,""
Musical Moments with Matthew!,2024-01-25,Float On,3:28,Modest Mouse,Good News For People Who Love Bad News,2004,Epic,""
Musical Moments with Matthew!,2024-01-25,Over My Head (Cable Car),3:56,The Fray,How To Save A Life,2005,Epic,""
Musical Moments with Matthew!,2024-01-25,Heroes - 2017 Remaster,6:11,David Bowie,"""Heroes"" (2017 Remaster)",1977,Parlophone UK,""
Musical Moments with Matthew!,2024-01-25,Take Me Home - 2016 Remaster,5:53,Phil Collins,No Jacket Required (2016 Remaster),1985,Rhino,""
sad girl sounds,2024-01-25,I'm Not Sayin' (Single Version),2:48,Nico,I’m Not Sayin’ / The Last Mile,1965,Charly,""
sad girl sounds,2024-01-25,My Little Red Book - Stereo Version,2:30,Love,Love,1966,Rhino/Elektra,""
sad girl sounds,2024-01-25,Why I Cry,3:37,The Magnetic Fields,Get Lost,1995,Merge Records,""
sad girl sounds,2024-01-25,This Time Tomorrow (2020 Stereo Remaster),3:23,The Kinks,"Lola Versus Powerman and the Moneygoround, Pt. 1",1970,Sanctuary Records,""
sad girl sounds,2024-01-25,Roadrunner,4:06,The Modern Lovers,The Modern Lovers (Expanded Version),1976,Sanctuary Records,""
sad girl sounds,2024-01-25,A Personal Issue,3:07,The Cleaners From Venus,Blow Away Your Troubles,1981,Mr Mule,""
sad girl sounds,2024-01-25,Made Up In Blue,4:02,The Bats,Daddy's Highway,1987,Mammoth,""
sad girl sounds,2024-01-25,Pam's Tan,1:19,Black Tambourine,Black Tambourine,2009,Slumberland Records,""
sad girl sounds,2024-01-25,Many Roads to Follow - Demo,2:14,The Nerves,One Way Ticket,2008,Alive Naturalsound,""
sad girl sounds,2024-01-25,You Tore Me Down,2:52,Flamin' Groovies,Shake Some Action,1976,Rhino/Warner Records,""
sad girl sounds,2024-01-25,Don't Lead Me On,2:19,The Smoke,It's Smoke Time,2008,Morgan Blue Town,""
sad girl sounds,2024-01-25,Dance On Through,3:07,The Human Beinz,Nobody But Me,1968,Capitol Records,""
sad girl sounds,2024-01-25,Can't Seem To Make You Mine,3:05,The Seeds,The Seeds,1966,GNP Crescendo,""
sad girl sounds,2024-01-25,Carried Away - 2003 Remaster,5:12,Television,Adventure,1978,Rhino/Elektra,""
sad girl sounds,2024-01-25,Anything Could Happen,2:37,The Clean,Compilation,1986,Merge Records,""
On the Record,2024-01-25,Feelin' Good,2:54,Nina Simone,Great Women of Song: Nina Simone,2023,Verve Records,Nina Simone
On the Record,2024-01-25,I Put A Spell on You,2:35,Nina Simone,Great Women of Song: Nina Simone,2023,Verve Records,Nina Simone
On the Record,2024-01-25,Don't Let Me Be Understiid,2:46,Nina Simone,Great Women of Song: Nina Simone,2023,Verve Records,Nina Simone
On the Record,2024-01-25,Ne Me Quitte Pas,3:34,Nina Simone,Great Women of Song: Nina Simone,2023,Verve Records,Nina Simone
On the Record,2024-01-25,Tell Me More and More and Then Some,3:07,Nina Simone,Great Women of Song: Nina Simone,2023,Verve Records,Nina Simone
On the Record,2024-01-25,Lilac Wine,4:13,Nina Simone,Great Women of Song: Nina Simone,2023,Verve Records,Nina Simone
On the Record,2024-01-25,Take Care of Business,2:05,NIna Simone,Great Women of Song: Nina Simone,2023,Verve Records,Nina Simone
On the Record,2024-01-25,Mood Indigo,4:00,Nina Simone,The Finest of Sina Simone,1977,Bethlehem Records,Nina Simone
On the Record,2024-01-25,See-Line Woman,2:35,Nina Simone,Great Women of Song: Nina Simone,2023,Verve Records,Nina Simone
On the Record,2024-01-25,Four Women,4:24,Nina Simone,Great Women of Song: Nina Simone,2023,Verve Records,Nina Simone
On the Record,2024-01-25,Wild is The Wind,6:56,Nina Simone,Great Women of Song: Nina Simone,2023,Verve Records,Nina Simone
On the Record,2024-01-25,"I Loves You, Porgy",2:30,Nina Simone,Great Women of Song: Nina Simone,2023,Verve Records,Nina Simone
Thursday Thunes,2024-01-25,Descifrar,2:58,maye,Descifrar,2022,Pink Poetry & EO Entertainment,""
Thursday Thunes,2024-01-25,"I Feel Love - 12"" Version",8:15,Donna Summer,Bad Girls (Deluxe Edition),1979,Island Def Jam,""
Thursday Thunes,2024-01-25,Something Holy,4:46,Alice Phoebe Lou,Paper Castles,2019,Alice Phoebe Lou,""
Thursday Thunes,2024-01-25,"Call It Fate, Call It Karma",3:24,The Strokes,Comedown Machine,2013,RCA Records Label,""
Thursday Thunes,2024-01-25,Why?,4:41,Mid-Air Thief,Crumbling,2019,Topshelf Records,""
Thursday Thunes,2024-01-25,My Whole New World,4:24,Lee Jin Ah,Hearts of the City,2023,Antenna,""
Thursday Thunes,2024-01-25,Arrival,2:49,Domenique Dumont,People On Sunday,2020,The Leaf Label,""
Thursday Thunes,2024-01-25,I'm Every Sparkly Woman,2:23,Ana Roxanne,~~~,2019,Leaving Records,""
Thursday Thunes,2024-01-25,¿Como Asi­?,2:49,Kali Uchis,ORQUÃDEAS,2024,Geffen Records,""
Thursday Thunes,2024-01-25,Tears can be so soft,5:11,Christine and the Queens,"PARANOÃA, ANGELS, TRUE LOVE",2023,Because Music,""
Thursday Thunes,2024-01-25,KINDRED I,1:44,Kelsey Lu,Blood,2019,Columbia,""
Thursday Thunes,2024-01-25,Lua,3:45,"Winter, Nailah Hunter",Lua,2021,Leaving Records,""
Thursday Thunes,2024-01-25,ride the dragon,3:08,FKA twigs,CAPRISONGS,2022,Atlantic Records,""
Thursday Thunes,2024-01-25,Billions,4:57,Caroline Polachek,"Desire, I Want To Turn Into You",2023,Perpetual Novice,""
Thursday Thunes,2024-01-25,When the Night Begins to Fall,4:05,James the Seventh,When the Night Begins to Fall,2021,James the Seventh,""
Thursday Thunes,2024-01-25,no one else has your magik!,5:46,muva of Earth,align with Nature's Intelligence,2023,Brownswood Recordings,""
Thursday Thunes,2024-01-25,Suspended,3:05,Sampha,Lahai,2023,Young,""
Thursday Thunes,2024-01-25,Bruises Off The Peach,3:12,Ryan Beatty,Calico,2023,Atlantic Records UK,""
Thursday Thunes,2024-01-25,The Pearl That Glitters,3:43,SHOLTO,The Changing Tides of Dreams,2023,Root Records,""
Thursday Thunes,2024-01-25,The Word Hurricane,2:32,Air,The Virgin Suicides (Original Motion Picture Score),2000,Aircheology,""
Thursday Thunes,2024-01-25,Si Tu Supieras CompaÃ±ero,6:04,ROSALIA,Los Ãngeles,2017,Universal Music Spain S.L.,""
Thursday Thunes,2024-01-25,God Turn Me Into a Flower,6:25,Weyes Blood,"And In The Darkness, Hearts Aglow",2022,Sub Pop Records,""
Thursday Thunes,2024-01-25,Infinite Love,2:25,Emile Mosseri,Kajillionaire (Original Motion Picture Soundtrack),2020,Back Lot Music,""
Thursday Thunes,2024-01-25,The Incantation Pt. 1,1:53,Stevie Dinner,Mystery Flavor,2013,"Stevie Dinner, under exclusive l",""
Thursday Thunes,2024-01-25,Lovesong,4:05,beabadoobee,Beatopia,2022,Dirty Hit,""
sounds like sunshine,2024-01-25,Time Ain't Accidental,3:27,Jess Williamson,Time Ain't Accidental,2023,Mexican Summer,""
sounds like sunshine,2024-01-25,Love Will,3:47,Susan Tedeschi,Back To The River,2008,Verve Forecast,""
sounds like sunshine,2024-01-25,Treat Me Right,4:24,Grace Potter & The Nocturnals,Nothing But The Water,2005,Hollywood Records,""
sounds like sunshine,2024-01-25,Handful of Water,2:31,Sofi­a Valdes,Handful of Water,2020,Warner Records,""
sounds like sunshine,2024-01-25,It Must Be Someone Else's Fault,3:18,Courtney Marie Andrews,It Must Be Someone Else's Fault,2020,Fat Possum,""
sounds like sunshine,2024-01-25,Stone Me,3:09,Margo Price,That's How Rumors Get Started,2020,Loma Vista Recordings,""
sounds like sunshine,2024-01-25,Persephone,4:22,Allison Russell,Outside Child,2021,Fantasy,""
sounds like sunshine,2024-01-25,Grinnin' in Your Face,1:58,Jade Bird,Something American,2017,Glassnote Entertainment Group LL,""
sounds like sunshine,2024-01-25,The It Girl,2:42,Raye Zaragoza,Woman in Color,2020,Rebel River Records,""
sounds like sunshine,2024-01-25,Southern Comfort,3:47,Larkin Poe,Blood Harmony,2022,Tricki-Woo,""
sounds like sunshine,2024-01-25,13th Century Metal,4:47,Brittany Howard,Jaime,2019,ATO Records,""
sounds like sunshine,2024-01-25,Hangover Blues,4:04,Amythyst Kiah,Wary + Strange,2021,Rounder,""
sounds like sunshine,2024-01-25,Why'd Ya Do It,3:37,Sierra Ferrell,Long Time Coming,2021,Rounder,""
sounds like sunshine,2024-01-25,Here He Comes,3:29,Amanda Shires,Take It Like A Man,2022,ATO Records,""
tall guy bops,2024-01-25,Sweater Weather,4:00,The Neighbourhood,I Love You.,2013,Columbia,""
tall guy bops,2024-01-25,What You Know,3:11,Two Door Cinema Club,Tourist History,2010,Glassnote Entertainment Group LL,""
tall guy bops,2024-01-25,telepatÃ­a,2:40,Kali Uchis,Sin Miedo (del Amor y Otros Demonios) âˆž,2020,EMI / Interscope,""
tall guy bops,2024-01-25,Bags,4:20,Clairo,Immunity,2019,FADER Label,""
tall guy bops,2024-01-25,Heart To Heart,3:31,Mac DeMarco,Here Comes The Cowboy,2019,Macâ€™s Record Label,""
tall guy bops,2024-01-25,Marlboro Nights,1:08,Lonely God,Marlboro Nights,2018,Pizzaslime Records,""
tall guy bops,2024-01-25,Devil's Advocate,3:06,The Neighbourhood,Chip Chrome & The Mono-Tones,2020,Columbia,""
tall guy bops,2024-01-25,Shut up My Moms Calling,2:44,Hotel Ugly,Shut up My Moms Calling,2020,"Hotel Ugly, under exclusive lice",""
tall guy bops,2024-01-25,The Blonde,3:47,TV Girl,French Exit,2014,TV Girl,""
tall guy bops,2024-01-25,Flaming Hot Cheetos,2:03,Clairo,Flaming Hot Cheetos,2017,FADER Label,""
tall guy bops,2024-01-25,Sports,2:44,Beach Bunny,Sports,2018,Mom+Pop,""
tall guy bops,2024-01-25,Freaking Out the Neighborhood,2:53,Mac DeMarco,2,2012,Captured Tracks,""
tall guy bops,2024-01-25,Mrs Magic,3:28,Strawberry Guy,Mrs Magic,2019,Melodic,""
tall guy bops,2024-01-25,Falling for U,2:04,"Peachy!, mxmtoon",Falling for U,2017,Peachy!,""
tall guy bops,2024-01-25,Cigarettes out the Window,3:18,TV Girl,Who Really Cares,2016,TV Girl,""
tall guy bops,2024-01-25,Sofia,3:08,Clairo,Immunity,2019,FADER Label,""
tall guy bops,2024-01-25,Money,3:53,The Drums,Portamento,2011,Universal-Island Records Ltd.,""
tall guy bops,2024-01-25,Tek It,3:11,CafunÃ©,Running,2021,Elektra (NEK),""
tall guy bops,2024-01-25,My Kind of Woman,3:10,Mac DeMarco,2,2012,Captured Tracks,""
tall guy bops,2024-01-25,Romantic Lover,1:26,Eyedress,Let's Skip to the Wedding,2020,Lex Records,""
tall guy bops,2024-01-25,Blue Hair,3:37,TV Girl,Death of a Party Girl,2018,TV Girl,""
tall guy bops,2024-01-25,Borderline,3:57,Tame Impala,The Slow Rush,2020,Universal Music Australia Pty. L,""
tall guy bops,2024-01-25,Dead To Me,3:19,Kali Uchis,Isolation,2018,EMI,""
tall guy bops,2024-01-25,Pretty Girl,2:58,Clairo,Pretty Girl,2017,FADER Label,""
tall guy bops,2024-01-25,Young,3:09,Vacations,Vibes,2016,Nettwerk Music Group,""
tall guy bops,2024-01-25,For the First Time,3:02,Mac DeMarco,This Old Dog,2017,Captured Tracks,""
tall guy bops,2024-01-25,Not Allowed,2:47,TV Girl,Who Really Cares,2016,TV Girl,""
tall guy bops,2024-01-25,The Less I Know The Better,3:36,Tame Impala,Currents,2015,Universal Music Australia Pty. L,""
tall guy bops,2024-01-25,Tongue Tied,3:38,GROUPLOVE,Never Trust a Happy Song,2011,Canvasback/ATL,""
tall guy bops,2024-01-25,Stuck with Me,4:18,The Neighbourhood,Hard To Imagine The Neighbourhood Ever Changing,2018,Columbia,""
tall guy bops,2024-01-25,Babydoll,1:37,Dominic Fike,"Don't Forget About Me, Demos",2018,Columbia,""
tall guy bops,2024-01-25,4am,1:50,girl in red,4am,2018,world in red,""
tall guy bops,2024-01-25,Tek It - Sped Up,2:46,CafunÃ©,Tek It (I Watch the Moon),2019,Elektra (NEK),""
tall guy bops,2024-01-25,Feels Like We Only Go Backwards,3:12,Tame Impala,Lonerism,2012,Modular,""
tall guy bops,2024-01-25,Royals,3:10,Lorde,Pure Heroine,2013,Universal Music New Zealand Limi,""
tall guy bops,2024-01-25,Fallen Star,3:44,The Neighbourhood,Fallen Star,2021,Original Sin,""
tall guy bops,2024-01-25,Cloud 9,2:27,Beach Bunny,Honeymoon,2020,Mom+Pop,""
tall guy bops,2024-01-25,I'll Call You Mine,3:21,girl in red,if i could make it go quiet,2021,world in red,""
tall guy bops,2024-01-25,Dark Red,2:53,Steve Lacy,Dark Red,2017,Three Quarter,""
tall guy bops,2024-01-25,Stargirl Interlude,1:51,"The Weeknd, Lana Del Rey",Starboy,2016,Universal Republic Records,""
tall guy bops,2024-01-25,Ribs,4:18,Lorde,Pure Heroine,2013,Universal Music New Zealand Limi,""
tall guy bops,2024-01-25,Cherry Flavoured,3:28,The Neighbourhood,Chip Chrome & The Mono-Tones,2020,Columbia,""
tall guy bops,2024-01-25,Pope Is a Rockstar,3:07,SALES,SALES LP,2016,SALES,""
tall guy bops,2024-01-25,.,2:46,girl in red,if i could make it go quiet,2021,world in red,""
tall guy bops,2024-01-25,Something About You,2:33,"Eyedress, Dent May",Mulholland Drive,2021,Lex Records,""
tall guy bops,2024-01-25,Are You Bored Yet? (feat. Clairo),2:58,"Wallows, Clairo",Nothing Happens,2019,Atlantic Records,""
tall guy bops,2024-01-25,Doin' Time,3:22,Lana Del Rey,Norman Fucking Rockwell!,2019,Polydor Records,""
tall guy bops,2024-01-25,Pretty Boy,3:54,The Neighbourhood,Chip Chrome & The Mono-Tones,2020,Columbia,""
tall guy bops,2024-01-25,Swing Lynn,5:21,Harmless,I'm Sure,2012,Nettwerk Music Group,""
tall guy bops,2024-01-25,Show Me How,3:35,Men I Trust,Show Me How,2018,Indie,""
Navidson,2024-01-25,Jeanine!,2:19,"Kwame Adu, Aviad",Jeanine!,2021,Sentai Records,""
Navidson,2024-01-25,Thorns,4:28,Zoe's Shanghai,A Mirage (Meant to Last Forever),2019,Zoe's Shanghai,""
Navidson,2024-01-25,Maiden Waters,5:50,Don Glori,Welcome,2022,Bedroom Suck Records,""
Navidson,2024-01-25,Thank You For Your Love,4:27,The Dramatics,Whatcha See Is Whatcha Get [Stax Remasters],1971,Stax,""
Navidson,2024-01-25,Like a Tattoo,3:38,Sade,Love Deluxe,1992,Epic,""
Navidson,2024-01-25,Dream,1:24,Ryuichi Sakamoto,L.O.L. (Lack Of Love),2000,KAB America Inc.,""
Navidson,2024-01-25,Teenage Blue,3:54,Dreamgirl,Illuminaughty,2015,Revolution Records,""
Navidson,2024-01-25,What Kind of Love,4:02,Childish Gambino,What Kind of Love,2014,Glassnote Entertainment Group LLC,""
Navidson,2024-01-25,Gilded Lily,3:32,Cults,Offering,2022,Sinderlyn/Columbia,""
Navidson,2024-01-25,A Lot's Gonna Change,4:21,Weyes Blood,Titanic Rising,2019,Sub Pop Records,""
Navidson,2024-01-25,Nobody But You,2:15,Brainstory,Nobody But You,2023,Big Crown Records,""
Navidson,2024-01-25,No Quit,3:13,Michael Nau,No Quit,2019,Karma Chief Records,""
Navidson,2024-01-25,You Don't Have To Change,2:42,Kool & The Gang,Light Of Worlds,1974,Island Mercury,""
Navidson,2024-01-25,Much Better Off,2:50,Smokey Robinson & The Miracles,Special Occasion,1968,UNI/MOTOWN,""
Navidson,2024-01-25,Never Have Enough,5:19,Los Retros,Never Have Enough,2019,Stones Throw Records,""
Navidson,2024-01-25,Pendant,3:55,Cuco,Pendant,2022,"Walk The Trail, Inc, under exclusive license to Interscope Records",""
Navidson,2024-01-25,I Like It,4:39,DeBarge,All This Love,1982,UNI/MOTOWN,""
Navidson,2024-01-25,Jane!,3:06,The Long Faces,Jane!,2018,The Long Faces,""
Navidson,2024-01-25,What's Your Name?,4:02,Leon Fare,Inside is Love,2013,Harry Stone Music,""
Crimes Against Music,2024-01-26,The Sleeping Fields,1:27,Ghost Bath,Moonlover,2016,Nuclear Blast Entertainment,""
Crimes Against Music,2024-01-26,Something You Know,2:45,Blood Orange,Four Songs,2022,Domino Recording Co./RCA Records,""
Crimes Against Music,2024-01-26,Wish,3:01,Blood Orange,Four Songs,2022,Domino Recording Co./RCA Records,""
Crimes Against Music,2024-01-26,When I Strike...,2:40,Vegyn,Only Diamonds Cut Diamonds,2019,PLZ Make It Ruins,""
Crimes Against Music,2024-01-26,White Gloves,3:38,Khruangbin,The Universe Smiles Upon You,2015,Late Night Tales,""
Crimes Against Music,2024-01-26,May,3:40,Life On Venus,Encounters,2017,Stereopark Music,""
